Name;Address;Notes;lat;lng
Action Factory;Tehtaankatu 25,00150 Helsinki;;60.157813;24.935847
Best brakes;Lauttasaarentie 15,00200 Helsinki;(9-18, 9-14);60.160813,24.886207;Lauttasaarentie 15,00200 Helsinki
Bike company;Ruusulankatu 21, 00250 Helsinki;;60.18373;24.92209
Bikeline;Korppaanmäentie 38, 00300 Helsinki;;60.208419;24.891967
Bike planet;Friisiläntie 1, 02240 Espoo;(10-19, 10-16);60.163043;24.721808
Bike planet;Martinkyläntie 39 B, 01720 Vantaa;(10-19, 10-16);60.281063;24.832514
Bike planet;Unioninkatu 45, 00170 Helsinki;(10-19, 10-16);60.1756;24.950356
Bike Service;Huopalahdentie 16, 00330 Helsinki;;60.20025;24.88267
Chebici;Alhotie 14, 04430 Järvenpää;;60.4772;25.10804
Cycle Center;Helsinginkatu 9, 00500 Helsinki;;60.187335;24.956915
Cycle Center;Mäkelänkatu 84, 00610 Helsinki;;60.210462;24.944312
Cycle Center;Tehtaankatu 27-29, 00150 Helsinki;;60.157767;24.934699
Cycles Eriksson;Rekolantie 70, 01400 Vantaa;(8:30-17);60.333353;25.075277
Ecobike;Mannerheiminie 13, 00100 Helsinki;;60.173128;24.934303
Espoontorin pyörä;Kamreerintie 7, 02770 Espoo;;60.204332;24.654466
Etelä-Suomen pyörähuolto;Hakkukuja 1, 02650 Espoo;;60.224246;24.813813
Fillarikellari;Annankatu 19, 00120 Helsinki;;60.166218;24.937828
Fillaripaja;Vuollemutka 9, 01600 Vantaa;;60.269136;24.852519
Foxcomp;Kivihaankuja 1, 00310 Helsinki;(12-18);60.209442;24.902719
Gamebike;Nelikkotie 2, 02230 Espoo;;60.161838;24.740687
GoVeloGo;Sarkatie 1, 01720 Vantaa;;60.272473;24.80862
Greenbike;Bulevardi 32, 00120 Helsinki;;60.163301;24.934079
Hallman sports;Martinkyläntie 53, 01720 Vantaa;;60.275554;24.816736
Helsingin pyörähuolto;Roihuvuorentie 30, 00820 Helsinki;;60.202944;25.059396
Helsingin urheiluvälinehuolto;Pekanraitti 14, 00700 Helsinki;;60.251362;25.016028
Hi 5 bikes;Puusepänkau 11, 00880 Helsinki;(10-18, 10-15);60.194957;25.041812
Itä-Helsingin pyörähuolto;Meripellontie 11 C, 00910 Helsinki;(10-18, 10-15);60.208066;25.107441
Kallesport;Kauppalantie 15, 00320 Helsinki;;60.213105;24.898605
Kalliopyörä;Päivöläntie 21, 00730 Helsinki;;60.263735;25.02642
Kari's Bike;Virpikuja 5, 01360 Vantaa;;60.321429;25.060329
Kauppaveljet;Eerikinkatu 5, 00100 Helsinki;(10-18, 10-15);60.167346;24.935574
Kauppaveljet;Mannerheimintie 118, 00270 Helsinki;;60.192252;24.909904
Kickbike;Alankotie 11, 00730 Helsinki;;60.269168;25.034601
Lauttasaaren pyörä ja urheilu;Lauttasaarentie 54, 00200 Helsinki;;60.161967;24.865986
Leppävaaran urheilu;Konstaapelinkatu 1, 02650 Espoo;;60.221941;24.813825
Mellunmäen pyörähuolto;Laakavuorenkuja 2, 00970 Helsinki;;60.240504;25.110517
Mikro- ja fillarimyynti;Venäläinen M Kulotie 2, 01450 Vantaa;;60.371731;25.064578
Mountain bike shop;Läntinen Brahenkatu 8, 00510 Helsinki;;60.188475;24.948264
Pasilan pyörähuolto;Ratavartijankatu 4 E, 00520 Helsinki;;60.197104;24.945235
Pyörähuolto.com;Meripuistontie 5, 00200 Helsinki;;60.15825;24.87408
Pyörähuolto E Koskinen;Immolantie 41, 00780 Helsinki;;60.263282;24.979706
Pyörähuolto;Tanskanen Tontunmäki, 02200 Espoo;;60.178215;24.75269
Pyöräliike;Lundberg Asemanaukio 7, 04200 Kerava;;60.401685;25.128357
Pyöränurkka;Lauritsantie 3, 00370 Helsinki;;60.227694;24.84857
Pyörä-Olari;Kuunkehrä 2, 02210 Espoo;;60.172842;24.725382
Pyörätohtori;Lippajärvi, Espoo;(repair only);60.229351;24.71191
Sellon pyörä;Alberganesplanadi 2, 02600 Espoo;;60.21652;24.812158
Silvesport;Sarkatie 1, 01720 Vantaa;;60.272473;24.80862
Simola R;Mannerheimintie 81, 00250 Helsinki;;60.19128;24.91307
Sportti Thurman;Laaksotie 11, 02700 Kauniainen;;60.211013;24.730233
Suomen polkupyörätukku;Itäkatu 7, 00930 Helsinki;;60.211568;25.084622
Suomen polkupyörätukku;Albertinkatu 16, 00120 Helsinki;;60.161501;24.937176
Suomen polkupyörätukku;Malminraitti 17, 00700 Helsinki;;60.256225;25.010834
Suomen polkupyörätukku;Malminkaari 17-19, 0070 Helsinki;;60.17116;24.93258
Suomen polkupyörätukku;Liesitori 1, 01600 Vantaa;;60.262764;24.854612
Suomen polkupyörätukku;Oravannahkatori 3, 02120 Espoo;;60.175808;24.792467
Suomen polkupyörätukku;Horsmakuja 1, 01300 Vantaa;;60.288404;25.032046
Suomen polkupyörätukku;Sulantie 11, 04300 Tuusula;;60.38147;25.032595
Suomen urheiluaitta;Annankatu 22, 00100 Helsinki;;60.166587;24.937282
Suomen urheiluaitta;Mittatie 21, 01260 Vantaa;;60.301694;25.106412
System 1;Kastelholmantie 2 (Puhos), 00900 Helsinki;(10-18, 10-14);60.214337;25.081522
Sähköpyörä;Tallberginkatu 1 C, 00180 Helsinki;(recumbents, choppers, cruisers);60.162075;24.902897
Tapiolan polkupyöräpaja;Pohjantie 2 A 98, 02100 Espoo;(9-17 (fri -15), 10-14);60.175014;24.800682
Tikkurilan ajomies;Peltolantie 2, 01300 Vantaa;(10-18, 10-14 (wed shut));60.293617;25.031467
Tikkurilan pyörä ja urheilu;Kielotie 4-6, 01300 Vantaa;;60.289982;25.035697
Töölön urheilu;Linnankoskenkatu 2, 00250 Helsinki;;60.185562;24.921073
Ulappatorin pyörä;Ulappakatu 1, 02320 Espoo;;60.150902;24.654908
Vartiokylän pyörä;Karhulantie 13, 00950 Helsinki;;60.217718;25.103793
Velosport;Mäkelänkatu 95, 00610 Helsinki;;60.210498;24.944743
Velotrade;Roihuvuorentie 30, 00820 Helsinki;;60.202944;25.059396
Vokant;Nahkahousuntie 5, 00210 Helsinki;(clothing);60.150816;24.883992
Vuosaaren pyörähuolto;Lokitie 1 A, 00980 Helsinki;;60.209633;25.135205
